tag_id,name,description,tag_category
T001,식단,건강한 식단 및 영양소 관련 주제,QnA
T002,운동 루틴,일일 또는 주간 운동 루틴 구성에 관한 주제,QnA
T003,동기부여,심리적 자극 및 지속 동기 유지 관련 내용,QnA
T004,벌크업,근육 증가 및 체중 증가에 초점 맞춘 주제,QnA
T005,다이어트,체중 감량을 위한 운동 및 식단 전략,QnA
T006,체형 교정,자세 교정 및 불균형 해소 관련 운동,QnA
T007,홈트레이닝,집에서 할 수 있는 운동 및 루틴,QnA
T008,여성 피트니스,여성을 위한 맞춤 운동 및 식단,QnA
T009,부상 예방,운동 중 부상 방지를 위한 방법,QnA
T010,보디빌딩,전문 근육 발달과 대회 준비 관련 전략,QnA
M001,고단백,단백질이 풍부한 식단 구성,Meal
M002,저지방,지방 함량이 낮은 다이어트 식단,Meal
M003,비건,동물성 식품을 배제한 식단,Meal
M004,키토,저탄수 고지방 위주의 식단,Meal
M005,저탄수,탄수화물 섭취를 줄인 식단,Meal
M006,고탄수,운동 전후 탄수화물 보충 식단,Meal
M007,균형식,탄단지 균형이 잘 맞는 기본 식단,Meal
M008,벌크업,체중 및 근육 증가를 위한 고열량 식단,Meal
M009,다이어트,체중 감량 목적의 저칼로리 식단,Meal
M010,식이섬유,소화 건강과 포만감을 위한 섬유소 위주 식단,Meal
I001,복합탄수화물,소화가 천천히 되는 탄수화물로 에너지 지속,Item
I002,건강간식,건강을 해치지 않는 간단한 스낵 구성,Item
I003,저염식,나트륨 함량을 줄인 저염 식단,Item
I004,고열량,에너지를 많이 제공하는 식단 구성,Item
I005,향신료 풍부,향신료 사용이 강조된 요리 방식,Item
I006,저당,당 함량을 낮춘 저당 식사 구성,Item
I007,고지방,지방이 풍부한 식재료 위주 식단,Item
I008,아침 추천,아침 식사에 적합한 식재료 혹은 조합,Item
