meal_id,trainer_id,goal,meal_type,diet_type,items,tags,text,embedding,created_at,is_public
meal_001,trainer_001,다이어트,아침,일반식,"닭가슴살 100g, 귀리죽 150g, 삶은 달걀 1개",고단백|저지방,"가볍지만 단백질을 충분히 섭취할 수 있는 아침 식단입니다.","[0.12, -0.23, 0.05, ...]",2024-05-01,TRUE
meal_002,trainer_002,벌크업,점심,일반식,"현미밥 200g, 소고기불고기 150g, 나물반찬",고단백|벌크업,"벌크업 중인 사람들을 위한 에너지 가득한 점심입니다.","[0.08, 0.34, -0.11, ...]",2024-05-01,TRUE
meal_003,trainer_003,체중유지,저녁,비건,"퀴노아 100g, 병아리콩 커리, 샐러드",비건|탄수지방균형,"균형 잡힌 비건 저녁으로 이상적인 구성입니다.","[0.17, -0.12, 0.09, ...]",2024-05-02,FALSE
meal_004,trainer_001,다이어트,간식,저탄수,"그릭요거트 100g, 블루베리 50g, 아몬드 10g",저탄수|고단백,"다이어트 중에도 맛있게 즐길 수 있는 고단백 간식입니다.","[0.02, 0.18, -0.07, ...]",2024-05-02,TRUE
meal_005,trainer_002,다이어트,점심,키토,"닭다리살 구이 120g, 아보카도, 샐러드",키토|고지방,"탄수화물을 제한한 키토 스타일 점심입니다.","[0.31, -0.25, 0.14, ...]",2024-05-03,TRUE
meal_006,trainer_003,벌크업,저녁,일반식,"현미밥 250g, 계란말이, 두부조림, 바나나",벌크업|고탄수,"운동 후 회복을 위한 고탄수, 고단백 저녁입니다.","[0.11, 0.42, -0.03, ...]",2024-05-03,FALSE
meal_007,trainer_001,다이어트,아침,비건,"두유 오트밀, 아몬드버터, 바나나 반개",비건|다이어트,"식이섬유와 단백질이 조화를 이루는 비건 아침입니다.","[0.27, -0.08, 0.10, ...]",2024-05-04,TRUE
meal_008,trainer_002,체중유지,점심,일반식,"곤약밥, 삼치구이, 나물반찬, 된장국",균형식|중간단계,"체중을 유지하고 싶은 사람들을 위한 일반식 점심입니다.","[0.14, 0.27, 0.05, ...]",2024-05-04,TRUE
meal_009,trainer_003,다이어트,저녁,저탄수,"닭가슴살 샐러드, 호두 10g, 스위트콘 약간",저탄수|다이어트,"야채와 단백질 중심의 저탄수 저녁 식단입니다.","[0.05, -0.33, 0.21, ...]",2024-05-05,FALSE
meal_010,trainer_001,벌크업,아침,일반식,"오트밀 100g, 땅콩버터, 계란후라이 2개, 바나나",고탄수|벌크업,"운동 전 에너지를 위한 이상적인 벌크업 식단입니다.","[0.21, 0.11, -0.15, ...]",2024-05-05,TRUE
