motivation_id,trainer_id,text,style,embedding
motiv_001,trainer_001,"조금씩이라도 꾸준히 하면 결과는 반드시 따라와요!",부드럽게,"[0.12, 0.43, 0.11]"
motiv_002,trainer_001,"오늘도 나를 이겼다는 사실만으로 충분해요.",부드럽게,"[0.23, 0.34, 0.29]"
motiv_003,trainer_002,"땀은 배신하지 않는다. 끝까지 가보자!",강하게,"[0.45, 0.78, 0.22]"
motiv_004,trainer_002,"운동은 선택이 아닌 필수야. 정신 바짝 차려!",강하게,"[0.56, 0.67, 0.31]"
motiv_005,trainer_003,"몸은 거짓말하지 않아요. 노력한 만큼 보여줘요.",논리적으로,"[0.31, 0.42, 0.18]"
motiv_006,trainer_003,"체계적으로 하면 누구나 변할 수 있어요.",논리적으로,"[0.28, 0.51, 0.35]"
motiv_007,trainer_004,"천천히 해도 괜찮아요. 중요한 건 포기하지 않는 거예요.",부드럽게,"[0.33, 0.27, 0.48]"
motiv_008,trainer_004,"한 걸음씩 나아가면 결국 도착합니다.",부드럽게,"[0.14, 0.38, 0.62]"
motiv_009,trainer_005,"강한 정신이 강한 몸을 만든다!",강하게,"[0.49, 0.63, 0.19]"
motiv_010,trainer_005,"오늘 고된 만큼 내일이 더 쉬워질 거야.",강하게,"[0.37, 0.56, 0.22]"
motiv_011,trainer_006,"작은 습관이 큰 변화를 만듭니다.",부드럽게,"[0.22, 0.44, 0.29]"
motiv_012,trainer_006,"스스로에게 자부심을 느낄 수 있도록 해봐요.",감성적,"[0.19, 0.41, 0.38]"
motiv_013,trainer_007,"근육은 배신하지 않는다. 오늘도 철저하게!",군대식,"[0.61, 0.66, 0.32]"
motiv_014,trainer_007,"이 정도는 가뿐하지? 더 갈 수 있어!",도전적,"[0.52, 0.47, 0.40]"
motiv_015,trainer_008,"과학적으로 접근하면 변화는 더 빠릅니다.",논리적으로,"[0.27, 0.59, 0.44]"
motiv_016,trainer_008,"지금의 선택이 미래의 몸을 만듭니다.",사려깊게,"[0.34, 0.50, 0.36]"
motiv_017,trainer_009,"너 자신을 믿어. 넌 생각보다 강해!",감성적,"[0.45, 0.42, 0.39]"
motiv_018,trainer_009,"오늘은 오늘밖에 없어. 최대치로 밀어!",열정적,"[0.53, 0.57, 0.25]"
motiv_019,trainer_010,"자신과의 싸움에서 이기는 게 진짜 강함입니다.",철학적,"[0.36, 0.49, 0.41]"
motiv_020,trainer_010,"건강은 투자가 아니라 가장 큰 자산이에요.",현실적,"[0.33, 0.60, 0.29]"
